ticker,security,sector,sub_industry,industry_group
PFE,Pfizer,Health Care,Pharmaceuticals,"Pharmaceuticals, Biotechnology & Life Sciences"
PCG,PG&E Corporation,Utilities,Multi-Utilities,Utilities
PM,Philip Morris International,Consumer Staples,Tobacco,"Food, Beverage & Tobacco"
PSX,Phillips 66,Energy,Oil & Gas Refining & Marketing,Energy
PNW,Pinnacle West Capital,Utilities,Multi-Utilities,Utilities
PNC,PNC Financial Services,Financials,Diversified Banks,Banks
PPG,PPG Industries,Materials,Specialty Chemicals,Materials
PPL,PPL Corporation,Utilities,Electric Utilities,Utilities
PFG,Principal Financial Group,Financials,Life & Health Insurance,Insurance
PG,Procter & Gamble,Consumer Staples,Personal Care Products,Household & Personal Products
PGR,Progressive Corporation,Financials,Property & Casualty Insurance,Insurance
PLD,Prologis,Real Estate,Industrial REITs,Equity Real Estate Investment Trusts (REITs)
PRU,Prudential Financial,Financials,Life & Health Insurance,Insurance
PEG,Public Service Enterprise Group,Utilities,Electric Utilities,Utilities
PTC,PTC Inc.,Information Technology,Application Software,Software & Services
PSA,Public Storage,Real Estate,Self-Storage REITs,Equity Real Estate Investment Trusts (REITs)
PHM,PulteGroup,Consumer Discretionary,Homebuilding,Consumer Durables & Apparel
PWR,Quanta Services,Industrials,Construction & Engineering,Capital Goods
QCOM,Qualcomm,Information Technology,Semiconductors,Semiconductors & Semiconductor Equipment
DGX,Quest Diagnostics,Health Care,Health Care Services,Health Care Equipment & Services
Q,Qnity Electronics,Information Technology,Semiconductor Materials & Equipment,Semiconductors & Semiconductor Equipment
RL,Ralph Lauren Corporation,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",Consumer Durables & Apparel
RJF,Raymond James Financial,Financials,Investment Banking & Brokerage,Financial Services
RTX,RTX Corporation,Industrials,Aerospace & Defense,Capital Goods
O,Realty Income,Real Estate,Retail REITs,Equity Real Estate Investment Trusts (REITs)
REG,Regency Centers,Real Estate,Retail REITs,Equity Real Estate Investment Trusts (REITs)
REGN,Regeneron Pharmaceuticals,Health Care,Biotechnology,"Pharmaceuticals, Biotechnology & Life Sciences"
RF,Regions Financial Corporation,Financials,Regional Banks,Banks
RSG,Republic Services,Industrials,Environmental & Facilities Services,Commercial & Professional Services
RMD,ResMed|,Health Care,Health Care Equipment,Health Care Equipment & Services
RVTY,Revvity,Health Care,Health Care Equipment,Health Care Equipment & Services
HOOD,Robinhood Markets,Financials,Investment Banking & Brokerage,Financial Services
ROK,Rockwell Automation,Industrials,Electrical Components & Equipment,Capital Goods
ROL,"Rollins, Inc.",Industrials,Environmental & Facilities Services,Commercial & Professional Services
ROP,Roper Technologies,Information Technology,Electronic Equipment & Instruments,Technology Hardware & Equipment
ROST,Ross Stores,Consumer Discretionary,Apparel Retail,Consumer Discretionary Distribution & Retail
RCL,Royal Caribbean Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",Consumer Services
SPGI,S&P Global,Financials,Financial Exchanges & Data,Financial Services
CRM,Salesforce,Information Technology,Application Software,Software & Services
SNDK,Sandisk,Information Technology,"Technology Hardware, Storage & Peripherals",Technology Hardware & Equipment
SBAC,SBA Communications,Real Estate,Telecom Tower REITs,Equity Real Estate Investment Trusts (REITs)
SLB,Schlumberger,Energy,Oil & Gas Equipment & Services,Energy
STX,Seagate Technology,Information Technology,"Technology Hardware, Storage & Peripherals",Technology Hardware & Equipment
SRE,Sempra,Utilities,Multi-Utilities,Utilities
NOW,ServiceNow,Information Technology,Systems Software,Software & Services
SHW,Sherwin-Williams,Materials,Specialty Chemicals,Materials
SPG,Simon Property Group,Real Estate,Retail REITs,Equity Real Estate Investment Trusts (REITs)
SWKS,Skyworks Solutions,Information Technology,Semiconductors,Semiconductors & Semiconductor Equipment
SJM,J.M. Smucker Company (The),Consumer Staples,Packaged Foods & Meats,"Food, Beverage & Tobacco"
SW,Smurfit Westrock,Materials,Paper & Plastic Packaging Products & Materials,Materials
SNA,Snap-on,Industrials,Industrial Machinery & Supplies & Components,Capital Goods
SOLV,Solventum,Health Care,Health Care Technology,Health Care Equipment & Services
SO,Southern Company,Utilities,Electric Utilities,Utilities
LUV,Southwest Airlines,Industrials,Passenger Airlines,Transportation
SWK,Stanley Black & Decker,Industrials,Industrial Machinery & Supplies & Components,Capital Goods
SBUX,Starbucks,Consumer Discretionary,Restaurants,Consumer Services
STT,State Street Corporation,Financials,Asset Management & Custody Banks,Financial Services
STLD,Steel Dynamics,Materials,Steel,Materials
STE,Steris,Health Care,Health Care Equipment,Health Care Equipment & Services
SYK,Stryker Corporation,Health Care,Health Care Equipment,Health Care Equipment & Services
SMCI,Supermicro,Information Technology,"Technology Hardware, Storage & Peripherals",Technology Hardware & Equipment
SYF,Synchrony Financial,Financials,Consumer Finance,Financial Services
SNPS,Synopsys,Information Technology,Application Software,Software & Services
SYY,Sysco,Consumer Staples,Food Distributors,Consumer Staples Distribution & Retail
TMUS,T-Mobile US,Communication Services,Wireless Telecommunication Services,Telecommunication Services
TROW,T. Rowe Price,Financials,Asset Management & Custody Banks,Financial Services
TTWO,Take-Two Interactive,Communication Services,Interactive Home Entertainment,Media & Entertainment
TPR,"Tapestry, Inc.",Consumer Discretionary,"Apparel, Accessories & Luxury Goods",Consumer Durables & Apparel
TRGP,Targa Resources,Energy,Oil & Gas Storage & Transportation,Energy
TGT,Target Corporation,Consumer Staples,Consumer Staples Merchandise Retail,Consumer Staples Distribution & Retail
TEL,TE Connectivity,Information Technology,Electronic Manufacturing Services,Technology Hardware & Equipment
TDY,Teledyne Technologies,Information Technology,Electronic Equipment & Instruments,Technology Hardware & Equipment
TER,Teradyne,Information Technology,Semiconductor Materials & Equipment,Semiconductors & Semiconductor Equipment
TSLA,"Tesla, Inc.",Consumer Discretionary,Automobile Manufacturers,Automobiles & Components
TXN,Texas Instruments,Information Technology,Semiconductors,Semiconductors & Semiconductor Equipment
TPL,Texas Pacific Land Corporation,Energy,Oil & Gas Exploration & Production,Energy
TXT,Textron,Industrials,Aerospace & Defense,Capital Goods
TMO,Thermo Fisher Scientific,Health Care,Life Sciences Tools & Services,"Pharmaceuticals, Biotechnology & Life Sciences"
TJX,TJX Companies,Consumer Discretionary,Apparel Retail,Consumer Discretionary Distribution & Retail
TKO,TKO Group Holdings,Communication Services,Movies & Entertainment,Media & Entertainment
TTD,Trade Desk (The),Communication Services,Advertising,Media & Entertainment
TSCO,Tractor Supply,Consumer Discretionary,Other Specialty Retail,Consumer Discretionary Distribution & Retail
TT,Trane Technologies,Industrials,Building Products,Capital Goods
TDG,TransDigm Group,Industrials,Aerospace & Defense,Capital Goods
TRV,Travelers Companies (The),Financials,Property & Casualty Insurance,Insurance
TRMB,Trimble Inc.,Information Technology,Application Software,Software & Services
TFC,Truist Financial,Financials,Diversified Banks,Banks
TYL,Tyler Technologies,Information Technology,Application Software,Software & Services
TSN,Tyson Foods,Consumer Staples,Packaged Foods & Meats,"Food, Beverage & Tobacco"
USB,U.S. Bancorp,Financials,Diversified Banks,Banks
UBER,Uber,Industrials,Passenger Ground Transportation,Transportation
UDR,"UDR, Inc.",Real Estate,Multi-Family Residential REITs,Equity Real Estate Investment Trusts (REITs)
ULTA,Ulta Beauty,Consumer Discretionary,Other Specialty Retail,Consumer Discretionary Distribution & Retail
UNP,Union Pacific Corporation,Industrials,Rail Transportation,Transportation
UAL,United Airlines Holdings,Industrials,Passenger Airlines,Transportation
UPS,United Parcel Service,Industrials,Air Freight & Logistics,Transportation
URI,United Rentals,Industrials,Trading Companies & Distributors,Capital Goods
UNH,UnitedHealth Group,Health Care,Managed Health Care,Health Care Equipment & Services
UHS,Universal Health Services,Health Care,Health Care Facilities,Health Care Equipment & Services
VLO,Valero Energy,Energy,Oil & Gas Refining & Marketing,Energy
VEEV,Veeva Systems,Health Care,Health Care Technology,Health Care Equipment & Services
VTR,Ventas,Real Estate,Health Care REITs,Equity Real Estate Investment Trusts (REITs)
VLTO,Veralto,Industrials,Environmental & Facilities Services,Commercial & Professional Services
VRSN,Verisign,Information Technology,Internet Services & Infrastructure,Software & Services
VRSK,Verisk Analytics,Industrials,Research & Consulting Services,Commercial & Professional Services
VZ,Verizon,Communication Services,Integrated Telecommunication Services,Telecommunication Services
VRTX,Vertex Pharmaceuticals,Health Care,Biotechnology,"Pharmaceuticals, Biotechnology & Life Sciences"
VRT,Vertiv,Industrials,Electrical Components & Equipment,Capital Goods
VTRS,Viatris,Health Care,Pharmaceuticals,"Pharmaceuticals, Biotechnology & Life Sciences"
VICI,Vici Properties,Real Estate,Hotel & Resort REITs,Equity Real Estate Investment Trusts (REITs)
V,Visa Inc.,Financials,Transaction & Payment Processing Services,Financial Services
VST,Vistra Corp.,Utilities,Electric Utilities,Utilities
VMC,Vulcan Materials Company,Materials,Construction Materials,Materials
WRB,W. R. Berkley Corporation,Financials,Property & Casualty Insurance,Insurance
GWW,W. W. Grainger,Industrials,Industrial Machinery & Supplies & Components,Capital Goods
WAB,Wabtec,Industrials,Construction Machinery & Heavy Transportation Equipment,Capital Goods
WMT,Walmart,Consumer Staples,Consumer Staples Merchandise Retail,Consumer Staples Distribution & Retail
DIS,Walt Disney Company (The),Communication Services,Movies & Entertainment,Media & Entertainment
WBD,Warner Bros. Discovery,Communication Services,Broadcasting,Media & Entertainment
WM,Waste Management,Industrials,Environmental & Facilities Services,Commercial & Professional Services
WAT,Waters Corporation,Health Care,Life Sciences Tools & Services,"Pharmaceuticals, Biotechnology & Life Sciences"
WEC,WEC Energy Group,Utilities,Electric Utilities,Utilities
WFC,Wells Fargo,Financials,Diversified Banks,Banks
WELL,Welltower,Real Estate,Health Care REITs,Equity Real Estate Investment Trusts (REITs)
WST,West Pharmaceutical Services,Health Care,Health Care Supplies,Health Care Equipment & Services
WDC,Western Digital,Information Technology,"Technology Hardware, Storage & Peripherals",Technology Hardware & Equipment
WY,Weyerhaeuser,Real Estate,Timber REITs,Equity Real Estate Investment Trusts (REITs)
WSM,"Williams-Sonoma, Inc.",Consumer Discretionary,Homefurnishing Retail,Consumer Discretionary Distribution & Retail
WMB,Williams Companies,Energy,Oil & Gas Storage & Transportation,Energy
WTW,Willis Towers Watson,Financials,Insurance Brokers,Insurance
WDAY,"Workday, Inc.",Information Technology,Application Software,Software & Services
WYNN,Wynn Resorts,Consumer Discretionary,Casinos & Gaming,Consumer Services
XEL,Xcel Energy,Utilities,Multi-Utilities,Utilities
XYL,Xylem Inc.,Industrials,Industrial Machinery & Supplies & Components,Capital Goods
YUM,Yum! Brands,Consumer Discretionary,Restaurants,Consumer Services
ZBRA,Zebra Technologies,Information Technology,Electronic Equipment & Instruments,Technology Hardware & Equipment
ZBH,Zimmer Biomet,Health Care,Health Care Equipment,Health Care Equipment & Services
ZTS,Zoetis,Health Care,Pharmaceuticals,"Pharmaceuticals, Biotechnology & Life Sciences"
